source_record_id,order_date,customer_id,product_id,product_name,category,region,channel,quantity,unit_price,total_amount
generated-order-00035,2026-02-14,cust-rand-285,prod-301,Yoga Mat,fitness,southeast,phone_sales,3,113.83,341.49
generated-order-00036,2025-06-19,cust-rand-177,prod-303,Protein Blender Bottle,fitness,south,online,7,22.51,157.57
generated-order-00037,2025-09-01,cust-rand-240,prod-103,Portable Projector,electronics,midwest,partner,2,779.15,1558.30
generated-order-00038,2025-05-25,cust-rand-279,prod-504,Webcam,accessories,southeast,online,1,246.25,246.25
generated-order-00039,2025-10-20,cust-rand-322,prod-101,Wireless Mouse,electronics,midwest,physical_store,4,140.97,563.88
generated-order-00040,2025-08-20,cust-rand-029,prod-301,Yoga Mat,fitness,southeast,marketplace,8,108.24,865.92
generated-order-00041,2026-03-07,cust-rand-276,prod-502,Travel Mug,accessories,southeast,marketplace,3,18.16,54.48
generated-order-00042,2025-06-10,cust-rand-032,prod-403,Bookshelf,furniture,south,partner,1,248.89,248.89
generated-order-00043,2026-02-01,cust-rand-162,prod-504,Webcam,accessories,northeast,partner,8,489.22,3913.76
generated-order-00044,2025-07-09,cust-rand-153,prod-203,Air Fryer,home,southeast,marketplace,2,472.79,945.58
generated-order-00045,2025-06-16,cust-rand-298,prod-303,Protein Blender Bottle,fitness,southeast,online,4,22.49,89.96
generated-order-00046,2025-09-15,cust-rand-237,prod-101,Wireless Mouse,electronics,midwest,marketplace,8,153.45,1227.60
generated-order-00047,2025-01-16,cust-rand-156,prod-403,Bookshelf,furniture,southeast,physical_store,7,418.04,2926.28
generated-order-00048,2025-09-27,cust-rand-240,prod-103,Portable Projector,electronics,north,phone_sales,3,505.02,1515.06
generated-order-00049,2025-05-18,cust-rand-084,prod-103,Portable Projector,electronics,southeast,marketplace,7,360.76,2525.32
generated-order-00050,2025-07-22,cust-rand-062,prod-203,Air Fryer,home,northeast,online,1,319.09,
generated-order-00051,2026-01-19,cust-rand-072,prod-503,Noise Cancelling Headphones,accessories,midwest,partner,4,888.10,3552.40
generated-order-00052,2025-05-18,cust-rand-043,prod-205,Vacuum Cleaner,home,northeast,physical_store,6,734.34,4406.04
generated-order-00053,2025-03-14,cust-rand-073,prod-102,Notebook 14,electronics,north,partner,8,3870.21,30961.68
generated-order-00054,2026-04-01,cust-rand-035,prod-401,Office Chair,furniture,south,physical_store,1,695.98,
generated-order-00055,2025-11-21,cust-rand-069,prod-202,Desk Lamp,home,north,marketplace,3,61.02,183.06
generated-order-00056,2025-09-04,cust-rand-006,prod-103,Portable Projector,electronics,midwest,phone_sales,8,862.46,6899.68
generated-order-00057,2025-08-03,cust-rand-064,prod-105,Smart Speaker,electronics,midwest,online,4,406.09,
generated-order-00058,2025-04-26,cust-rand-115,prod-501,Backpack,accessories,northeast,partner,5,95.65,478.25
generated-order-00059,2025-11-29,cust-rand-277,prod-402,Standing Desk,furniture,midwest,marketplace,2,780.30,1560.60
generated-order-00060,2025-06-20,cust-rand-053,prod-103,Portable Projector,electronics,northeast,online,2,758.82,1517.64
generated-order-00061,2025-06-21,cust-rand-220,prod-403,Bookshelf,furniture,northeast,phone_sales,2,661.40,1322.80
generated-order-00062,2025-06-30,cust-rand-018,prod-201,Coffee Maker,home,northeast,physical_store,8,282.06,2256.48
generated-order-00063,2025-11-14,cust-rand-172,prod-301,Yoga Mat,fitness,midwest,marketplace,8,67.36,538.88
generated-order-00064,2025-02-27,cust-rand-290,prod-102,Notebook 14,electronics,midwest,partner,6,2477.49,14864.94
generated-order-00065,2025-03-21,cust-rand-073,prod-302,Adjustable Dumbbells,fitness,north,physical_store,6,613.29,
generated-order-00066,2025-03-31,cust-rand-243,prod-403,Bookshelf,furniture,northeast,online,7,331.17,2318.19
generated-order-00067,2025-05-12,cust-rand-161,prod-105,Smart Speaker,electronics,southeast,marketplace,4,302.44,
generated-order-00068,2025-02-16,cust-rand-264,prod-201,Coffee Maker,home,north,phone_sales,2,309.74,619.48
generated-order-00069,2026-04-05,cust-rand-125,prod-105,Smart Speaker,electronics,north,online,5,222.96,1114.80
generated-order-00070,2025-03-30,cust-rand-145,prod-102,Notebook 14,electronics,north,marketplace,2,3862.19,
generated-order-00071,2025-12-29,cust-rand-239,prod-102,Notebook 14,electronics,northeast,online,6,3349.83,20098.98
generated-order-00072,2025-06-24,cust-rand-139,prod-503,Noise Cancelling Headphones,accessories,southeast,online,4,1270.43,5081.72
generated-order-00073,2026-02-03,cust-rand-103,prod-301,Yoga Mat,fitness,southeast,online,7,74.78,523.46
generated-order-00074,2025-07-15,cust-rand-293,prod-302,Adjustable Dumbbells,fitness,north,physical_store,2,815.33,1630.66
generated-order-00075,2025-03-05,cust-rand-038,prod-204,Blender,home,midwest,partner,6,336.94,2021.64
generated-order-00076,2025-04-16,cust-rand-294,prod-403,Bookshelf,furniture,north,physical_store,6,432.65,2595.90
generated-order-00077,2025-04-17,cust-rand-226,prod-302,Adjustable Dumbbells,fitness,midwest,partner,7,495.48,
generated-order-00078,2025-12-07,cust-rand-318,prod-202,Desk Lamp,home,south,online,8,137.16,1097.28
generated-order-00079,2025-05-13,cust-rand-196,prod-103,Portable Projector,electronics,north,physical_store,7,872.25,6105.75
generated-order-00080,2025-07-11,cust-rand-222,prod-301,Yoga Mat,fitness,south,phone_sales,4,125.99,503.96
generated-order-00081,2025-02-24,cust-rand-111,prod-205,Vacuum Cleaner,home,midwest,online,3,349.21,1047.63
generated-order-00082,2026-01-01,cust-rand-054,prod-402,Standing Desk,furniture,northeast,partner,4,1826.27,7305.08
generated-order-00083,2025-05-15,cust-rand-176,prod-303,Protein Blender Bottle,fitness,south,online,1,54.34,54.34
generated-order-00084,2025-07-13,cust-rand-119,prod-504,Webcam,accessories,south,partner,5,138.24,691.20
generated-order-00085,2025-03-21,cust-rand-177,prod-202,Desk Lamp,home,northeast,partner,5,99.97,
generated-order-00086,2025-04-07,cust-rand-286,prod-201,Coffee Maker,home,midwest,phone_sales,2,278.18,
generated-order-00087,2025-12-10,cust-rand-161,prod-205,Vacuum Cleaner,home,midwest,physical_store,4,802.29,3209.16
generated-order-00088,2025-01-31,cust-rand-306,prod-401,Office Chair,furniture,south,marketplace,3,869.10,2607.30
generated-order-00089,2025-12-06,cust-rand-083,prod-504,Webcam,accessories,midwest,marketplace,2,407.31,814.62
generated-order-00090,2025-02-16,cust-rand-224,prod-501,Backpack,accessories,southeast,marketplace,3,132.47,397.41
generated-order-00091,2025-08-23,cust-rand-291,prod-503,Noise Cancelling Headphones,accessories,midwest,physical_store,4,622.60,2490.40
generated-order-00092,2025-09-13,cust-rand-116,prod-205,Vacuum Cleaner,home,northeast,marketplace,5,340.93,1704.65
generated-order-00093,2025-10-15,cust-rand-347,prod-501,Backpack,accessories,south,phone_sales,8,167.06,1336.48
generated-order-00094,2025-10-08,cust-rand-101,prod-204,Blender,home,midwest,online,8,160.74,1285.92
generated-order-00095,2025-09-30,cust-rand-141,prod-403,Bookshelf,furniture,south,marketplace,5,335.56,1677.80
generated-order-00096,2025-03-25,cust-rand-039,prod-504,Webcam,accessories,north,phone_sales,6,359.20,2155.20
generated-order-00097,2025-07-26,cust-rand-067,prod-205,Vacuum Cleaner,home,southeast,online,7,497.30,3481.10
generated-order-00098,2025-11-05,cust-rand-078,prod-103,Portable Projector,electronics,southeast,physical_store,5,724.93,3624.65
generated-order-00099,2025-09-10,cust-rand-219,prod-301,Yoga Mat,fitness,south,phone_sales,8,52.00,416.00
generated-order-00100,2025-05-17,cust-rand-319,prod-301,Yoga Mat,fitness,midwest,partner,4,140.60,562.40
generated-order-00101,2025-07-02,cust-rand-211,prod-101,Wireless Mouse,electronics,southeast,phone_sales,4,97.94,391.76
generated-order-00102,2025-01-04,cust-rand-078,prod-301,Yoga Mat,fitness,northeast,marketplace,8,87.69,701.52
generated-order-00103,2025-05-26,cust-rand-047,prod-503,Noise Cancelling Headphones,accessories,southeast,phone_sales,6,608.83,3652.98
generated-order-00104,2025-04-01,cust-rand-262,prod-302,Adjustable Dumbbells,fitness,south,partner,2,919.81,1839.62
generated-order-00105,2025-01-30,cust-rand-053,prod-403,Bookshelf,furniture,southeast,partner,5,255.79,
generated-order-00106,2025-03-10,cust-rand-057,prod-204,Blender,home,midwest,partner,1,300.55,
generated-order-00107,2025-08-04,cust-rand-033,prod-501,Backpack,accessories,northeast,phone_sales,7,174.96,1224.72
generated-order-00108,2025-12-19,cust-rand-187,prod-402,Standing Desk,furniture,southeast,marketplace,6,922.96,
generated-order-00109,2025-06-02,cust-rand-325,prod-401,Office Chair,furniture,south,online,4,931.97,3727.88
generated-order-00110,2026-01-25,cust-rand-092,prod-105,Smart Speaker,electronics,northeast,online,6,192.66,1155.96
generated-order-00111,2025-07-15,cust-rand-056,prod-503,Noise Cancelling Headphones,accessories,south,marketplace,4,1252.18,
generated-order-00112,2025-04-17,cust-rand-100,prod-103,Portable Projector,electronics,southeast,marketplace,5,433.34,2166.70
generated-order-00113,2025-10-19,cust-rand-236,prod-101,Wireless Mouse,electronics,southeast,phone_sales,5,162.33,811.65
generated-order-00114,2025-08-24,cust-rand-124,prod-201,Coffee Maker,home,midwest,online,5,252.90,1264.50
generated-order-00115,2026-01-27,cust-rand-072,prod-401,Office Chair,furniture,northeast,phone_sales,3,690.72,2072.16
generated-order-00116,2025-11-21,cust-rand-037,prod-504,Webcam,accessories,southeast,phone_sales,7,375.97,2631.79
generated-order-00117,2026-01-27,cust-rand-287,prod-402,Standing Desk,furniture,northeast,marketplace,7,1374.41,9620.87
generated-order-00118,2025-04-07,cust-rand-223,prod-403,Bookshelf,furniture,north,phone_sales,4,624.61,2498.44
generated-order-00119,2026-02-12,cust-rand-063,prod-205,Vacuum Cleaner,home,southeast,physical_store,3,604.69,1814.07
generated-order-00120,2026-04-14,cust-rand-323,prod-103,Portable Projector,electronics,south,marketplace,6,692.03,4152.18
generated-order-00121,2025-07-25,cust-rand-225,prod-302,Adjustable Dumbbells,fitness,north,online,7,286.91,2008.37
generated-order-00122,2026-03-10,cust-rand-329,prod-301,Yoga Mat,fitness,northeast,partner,8,96.12,768.96
generated-order-00123,2025-12-30,cust-rand-288,prod-301,Yoga Mat,fitness,southeast,partner,2,53.89,107.78
generated-order-00124,2025-05-26,cust-rand-257,prod-205,Vacuum Cleaner,home,northeast,partner,4,768.84,
generated-order-00125,2025-03-01,cust-rand-291,prod-401,Office Chair,furniture,midwest,partner,2,1075.82,
generated-order-00126,2025-01-07,cust-rand-342,prod-401,Office Chair,furniture,midwest,phone_sales,7,644.49,4511.43
generated-order-00127,2025-02-16,cust-rand-157,prod-302,Adjustable Dumbbells,fitness,northeast,online,5,410.42,2052.10
generated-order-00128,2025-11-07,cust-rand-234,prod-201,Coffee Maker,home,midwest,phone_sales,2,204.83,409.66
generated-order-00129,2025-08-22,cust-rand-220,prod-104,Mechanical Keyboard,electronics,northeast,marketplace,8,302.34,
generated-order-00130,2025-11-30,cust-rand-250,prod-403,Bookshelf,furniture,south,online,2,235.43,470.86
generated-order-00131,2026-03-10,cust-rand-174,prod-201,Coffee Maker,home,south,phone_sales,3,359.40,1078.20
generated-order-00132,2025-12-23,cust-rand-252,prod-301,Yoga Mat,fitness,north,marketplace,4,74.69,298.76
generated-order-00133,2025-12-13,cust-rand-051,prod-402,Standing Desk,furniture,south,online,3,870.75,2612.25
generated-order-00134,2025-05-20,cust-rand-177,prod-205,Vacuum Cleaner,home,midwest,partner,6,308.55,1851.30
generated-order-00135,2025-12-16,cust-rand-142,prod-102,Notebook 14,electronics,north,marketplace,6,4078.68,24472.08
generated-order-00136,2025-01-09,cust-rand-027,prod-402,Standing Desk,furniture,north,physical_store,5,1454.21,7271.05
generated-order-00137,2025-12-31,cust-rand-040,prod-301,Yoga Mat,fitness,midwest,marketplace,5,136.72,683.60
generated-order-00138,2025-11-17,cust-rand-241,prod-205,Vacuum Cleaner,home,southeast,online,7,656.41,4594.87
generated-order-00139,2025-10-09,cust-rand-293,prod-302,Adjustable Dumbbells,fitness,northeast,partner,4,661.76,2647.04
generated-order-00140,2025-04-29,cust-rand-164,prod-203,Air Fryer,home,northeast,partner,6,379.50,2277.00
generated-order-00141,2025-04-04,cust-rand-059,prod-403,Bookshelf,furniture,northeast,marketplace,2,498.24,996.48
generated-order-00142,2025-07-11,cust-rand-123,prod-104,Mechanical Keyboard,electronics,south,phone_sales,8,515.75,4126.00
generated-order-00143,2026-04-07,cust-rand-262,prod-401,Office Chair,furniture,midwest,online,8,563.84,4510.72
generated-order-00144,2025-05-15,cust-rand-306,prod-203,Air Fryer,home,south,partner,3,578.21,1734.63
generated-order-00145,2025-04-10,cust-rand-143,prod-105,Smart Speaker,electronics,south,marketplace,7,318.51,2229.57
generated-order-00146,2025-07-01,cust-rand-094,prod-501,Backpack,accessories,northeast,phone_sales,8,77.24,617.92
generated-order-00147,2025-11-12,cust-rand-051,prod-503,Noise Cancelling Headphones,accessories,southeast,online,5,709.98,
generated-order-00148,2026-01-01,cust-rand-135,prod-203,Air Fryer,home,midwest,online,5,538.56,2692.80
generated-order-00149,2025-04-27,cust-rand-073,prod-301,Yoga Mat,fitness,south,online,1,123.54,123.54
generated-order-00150,2026-04-07,cust-rand-119,prod-105,Smart Speaker,electronics,north,marketplace,6,367.73,2206.38
generated-order-00151,2025-01-28,cust-rand-346,prod-503,Noise Cancelling Headphones,accessories,north,partner,5,562.77,2813.85
generated-order-00152,2025-02-26,cust-rand-309,prod-105,Smart Speaker,electronics,northeast,physical_store,8,309.42,2475.36
generated-order-00153,2026-02-06,cust-rand-079,prod-103,Portable Projector,electronics,northeast,physical_store,7,354.67,2482.69
generated-order-00154,2025-01-01,cust-rand-068,prod-501,Backpack,accessories,north,physical_store,1,258.34,258.34
generated-order-00155,2025-06-29,cust-rand-280,prod-104,Mechanical Keyboard,electronics,northeast,phone_sales,5,187.28,936.40
generated-order-00156,2025-06-20,cust-rand-018,prod-302,Adjustable Dumbbells,fitness,southeast,physical_store,7,737.51,5162.57
generated-order-00157,2025-01-28,cust-rand-194,prod-104,Mechanical Keyboard,electronics,southeast,online,6,184.04,
generated-order-00158,2025-03-10,cust-rand-236,prod-501,Backpack,accessories,southeast,partner,8,224.51,1796.08
generated-order-00159,2025-12-14,cust-rand-021,prod-101,Wireless Mouse,electronics,midwest,online,1,167.45,167.45
generated-order-00160,2025-10-25,cust-rand-128,prod-502,Travel Mug,accessories,northeast,partner,7,53.01,371.07
generated-order-00161,2025-11-09,cust-rand-211,prod-402,Standing Desk,furniture,midwest,online,2,1675.86,3351.72
generated-order-00162,2025-07-13,cust-rand-268,prod-401,Office Chair,furniture,southeast,phone_sales,7,548.53,
generated-order-00163,2026-04-15,cust-rand-215,prod-504,Webcam,accessories,northeast,partner,5,415.80,2079.00
generated-order-00164,2025-05-14,cust-rand-269,prod-205,Vacuum Cleaner,home,northeast,phone_sales,4,324.93,1299.72
generated-order-00165,2025-12-27,cust-rand-092,prod-303,Protein Blender Bottle,fitness,northeast,physical_store,4,21.88,87.52
generated-order-00166,2025-06-12,cust-rand-195,prod-205,Vacuum Cleaner,home,southeast,online,4,901.91,3607.64
generated-order-00167,2025-03-22,cust-rand-286,prod-105,Smart Speaker,electronics,north,physical_store,1,333.81,333.81
generated-order-00168,2026-03-19,cust-rand-060,prod-103,Portable Projector,electronics,midwest,online,4,769.30,
generated-order-00169,2025-12-12,cust-rand-106,prod-503,Noise Cancelling Headphones,accessories,midwest,marketplace,2,576.58,1153.16
generated-order-00170,2026-01-28,cust-rand-132,prod-302,Adjustable Dumbbells,fitness,midwest,phone_sales,4,465.06,1860.24
generated-order-00171,2025-02-17,cust-rand-053,prod-504,Webcam,accessories,northeast,marketplace,2,405.75,811.50
generated-order-00172,2025-08-09,cust-rand-277,prod-301,Yoga Mat,fitness,north,marketplace,2,95.07,190.14
generated-order-00173,2026-01-04,cust-rand-311,prod-301,Yoga Mat,fitness,south,phone_sales,7,41.53,290.71
generated-order-00174,2025-04-08,cust-rand-099,prod-301,Yoga Mat,fitness,north,partner,1,115.39,115.39
generated-order-00175,2025-02-06,cust-rand-228,prod-402,Standing Desk,furniture,southeast,phone_sales,7,1349.42,9445.94
generated-order-00176,2025-01-29,cust-rand-062,prod-103,Portable Projector,electronics,south,marketplace,4,474.79,1899.16
generated-order-00177,2026-04-24,cust-rand-174,prod-101,Wireless Mouse,electronics,northeast,online,2,133.73,267.46
generated-order-00178,2025-09-19,cust-rand-065,prod-303,Protein Blender Bottle,fitness,south,online,8,45.60,364.80
generated-order-00179,2025-12-24,cust-rand-181,prod-403,Bookshelf,furniture,northeast,phone_sales,5,263.87,1319.35
generated-order-00180,2025-09-16,cust-rand-024,prod-103,Portable Projector,electronics,midwest,phone_sales,1,937.91,937.91
generated-order-00181,2025-11-18,cust-rand-001,prod-102,Notebook 14,electronics,northeast,marketplace,3,3403.03,10209.09
generated-order-00182,2026-04-10,cust-rand-293,prod-303,Protein Blender Bottle,fitness,north,marketplace,7,42.56,297.92
generated-order-00183,2025-07-13,cust-rand-036,prod-201,Coffee Maker,home,south,phone_sales,3,226.40,
generated-order-00184,2025-05-29,cust-rand-328,prod-102,Notebook 14,electronics,north,online,4,2462.57,
generated-order-00185,2026-03-08,cust-rand-282,prod-102,Notebook 14,electronics,midwest,marketplace,4,2720.14,10880.56
generated-order-00186,2025-12-13,cust-rand-049,prod-402,Standing Desk,furniture,south,online,4,968.73,3874.92
generated-order-00187,2025-09-23,cust-rand-208,prod-401,Office Chair,furniture,north,partner,4,730.95,2923.80
generated-order-00188,2025-06-18,cust-rand-189,prod-203,Air Fryer,home,south,physical_store,8,446.23,
generated-order-00189,2026-04-24,cust-rand-152,prod-205,Vacuum Cleaner,home,southeast,phone_sales,5,514.82,
generated-order-00190,2026-01-23,cust-rand-350,prod-302,Adjustable Dumbbells,fitness,north,online,6,848.42,5090.52
generated-order-00191,2025-03-06,cust-rand-249,prod-401,Office Chair,furniture,north,physical_store,1,638.51,638.51
generated-order-00192,2025-05-24,cust-rand-323,prod-303,Protein Blender Bottle,fitness,northeast,online,5,24.54,122.70
generated-order-00193,2025-05-12,cust-rand-243,prod-105,Smart Speaker,electronics,midwest,phone_sales,3,217.99,
generated-order-00194,2026-03-20,cust-rand-066,prod-204,Blender,home,northeast,partner,3,212.95,638.85
generated-order-00195,2026-04-01,cust-rand-239,prod-105,Smart Speaker,electronics,northeast,physical_store,6,268.70,1612.20
generated-order-00196,2025-08-12,cust-rand-295,prod-203,Air Fryer,home,southeast,online,7,558.49,3909.43
generated-order-00197,2025-01-23,cust-rand-313,prod-402,Standing Desk,furniture,north,online,2,990.93,1981.86
generated-order-00198,2026-02-26,cust-rand-162,prod-201,Coffee Maker,home,southeast,online,4,301.58,1206.32
generated-order-00199,2026-03-08,cust-rand-240,prod-203,Air Fryer,home,north,physical_store,6,438.94,2633.64
generated-order-00200,2025-02-21,cust-rand-223,prod-401,Office Chair,furniture,south,partner,5,836.31,4181.55
generated-order-00201,2025-06-04,cust-rand-097,prod-101,Wireless Mouse,electronics,north,partner,1,179.32,179.32
generated-order-00202,2025-08-30,cust-rand-275,prod-401,Office Chair,furniture,south,online,6,1172.65,7035.90
generated-order-00203,2025-06-26,cust-rand-053,prod-202,Desk Lamp,home,midwest,phone_sales,4,48.58,
generated-order-00204,2026-03-20,cust-rand-135,prod-402,Standing Desk,furniture,midwest,online,5,2148.18,10740.90
generated-order-00205,2026-03-07,cust-rand-237,prod-401,Office Chair,furniture,northeast,phone_sales,7,1140.39,7982.73
generated-order-00206,2025-06-10,cust-rand-207,prod-104,Mechanical Keyboard,electronics,south,partner,7,421.61,
generated-order-00207,2026-04-15,cust-rand-048,prod-204,Blender,home,midwest,partner,5,323.46,
generated-order-00208,2025-10-19,cust-rand-238,prod-202,Desk Lamp,home,south,physical_store,5,49.54,247.70
generated-order-00209,2025-08-27,cust-rand-119,prod-301,Yoga Mat,fitness,northeast,physical_store,1,54.12,54.12
generated-order-00210,2025-01-15,cust-rand-212,prod-201,Coffee Maker,home,north,marketplace,6,139.92,839.52
generated-order-00211,2025-05-28,cust-rand-169,prod-502,Travel Mug,accessories,midwest,phone_sales,6,32.87,
generated-order-00212,2025-11-05,cust-rand-080,prod-201,Coffee Maker,home,northeast,partner,8,329.34,
generated-order-00213,2026-01-27,cust-rand-260,prod-103,Portable Projector,electronics,northeast,online,5,498.95,2494.75
generated-order-00214,2025-02-25,cust-rand-322,prod-403,Bookshelf,furniture,north,online,4,339.03,1356.12
generated-order-00215,2025-12-02,cust-rand-105,prod-202,Desk Lamp,home,southeast,partner,1,70.00,70.00
generated-order-00216,2025-08-05,cust-rand-147,prod-301,Yoga Mat,fitness,midwest,online,3,57.48,
generated-order-00217,2025-05-14,cust-rand-170,prod-503,Noise Cancelling Headphones,accessories,northeast,physical_store,5,1037.13,5185.65
generated-order-00218,2025-08-05,cust-rand-310,prod-303,Protein Blender Bottle,fitness,southeast,online,3,32.89,
generated-order-00219,2026-01-17,cust-rand-107,prod-403,Bookshelf,furniture,northeast,partner,4,432.72,1730.88
generated-order-00220,2025-11-20,cust-rand-134,prod-202,Desk Lamp,home,south,partner,7,95.87,671.09
generated-order-00221,2026-03-16,cust-rand-065,prod-202,Desk Lamp,home,northeast,online,5,45.46,227.30
generated-order-00222,2026-02-28,cust-rand-210,prod-203,Air Fryer,home,northeast,marketplace,8,277.62,
generated-order-00223,2025-12-22,cust-rand-049,prod-205,Vacuum Cleaner,home,northeast,partner,2,877.21,1754.42
generated-order-00224,2025-05-06,cust-rand-339,prod-105,Smart Speaker,electronics,northeast,partner,7,381.68,2671.76
generated-order-00225,2026-01-28,cust-rand-271,prod-104,Mechanical Keyboard,electronics,northeast,physical_store,5,274.00,1370.00
generated-order-00226,2025-06-27,cust-rand-332,prod-205,Vacuum Cleaner,home,southeast,online,3,589.40,1768.20
generated-order-00227,2025-04-12,cust-rand-294,prod-502,Travel Mug,accessories,southeast,partner,1,47.89,47.89
generated-order-00228,2025-10-04,cust-rand-066,prod-504,Webcam,accessories,south,phone_sales,4,141.91,567.64
generated-order-00229,2025-08-08,cust-rand-024,prod-203,Air Fryer,home,midwest,phone_sales,1,484.47,
generated-order-00230,2025-07-30,cust-rand-128,prod-501,Backpack,accessories,south,physical_store,6,172.08,1032.48
generated-order-00231,2025-04-13,cust-rand-114,prod-504,Webcam,accessories,north,physical_store,7,447.25,3130.75
generated-order-00232,2025-09-08,cust-rand-141,prod-403,Bookshelf,furniture,south,partner,6,600.68,3604.08
generated-order-00233,2025-04-21,cust-rand-269,prod-302,Adjustable Dumbbells,fitness,southeast,phone_sales,8,423.25,3386.00
generated-order-00234,2025-11-21,cust-rand-113,prod-103,Portable Projector,electronics,north,online,1,577.03,
generated-order-00235,2026-01-20,cust-rand-106,prod-303,Protein Blender Bottle,fitness,midwest,marketplace,2,36.61,73.22
generated-order-00236,2025-11-24,cust-rand-239,prod-203,Air Fryer,home,midwest,phone_sales,6,596.27,3577.62
generated-order-00237,2025-06-19,cust-rand-336,prod-504,Webcam,accessories,southeast,marketplace,5,138.96,694.80
generated-order-00238,2026-04-02,cust-rand-207,prod-204,Blender,home,north,phone_sales,5,101.56,507.80
generated-order-00239,2026-04-06,cust-rand-126,prod-501,Backpack,accessories,midwest,phone_sales,4,179.44,
generated-order-00240,2025-12-20,cust-rand-291,prod-503,Noise Cancelling Headphones,accessories,midwest,phone_sales,6,791.56,4749.36
generated-order-00241,2025-07-23,cust-rand-098,prod-503,Noise Cancelling Headphones,accessories,northeast,phone_sales,8,758.20,
generated-order-00242,2025-01-30,cust-rand-181,prod-303,Protein Blender Bottle,fitness,north,phone_sales,2,31.95,
generated-order-00243,2025-12-26,cust-rand-255,prod-403,Bookshelf,furniture,southeast,phone_sales,8,365.38,
